"Dataset","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"oxford","96.25934341771752","88.50545522395956","93.43282605794258","95.26596248789625","96.29987830358387","96.93624825404827","97.42062590132943","97.75226243360765","97.99163356003622","98.20032007682249","98.35720056149964","98.50932796029733","98.63773080691081","98.74344157971174","98.85372658618591","98.91653600662679","98.98190281523887","99.03987209929258","99.09908063269029","99.150183281803","99.18450590616887","99.22968610448896","99.27807264272845","99.30634342441407","99.34830379148006","99.36845901660516"
"university","92.78804528804528","81.05394605394606","88.72710622710623","91.43273393273395","92.7880452880453","93.75374625374627","94.7843822843823","95.23393273393276","95.81252081252083","96.26373626373629","96.71411921411922","97.22777222777225","97.42091242091243","97.87046287046289","97.99950049950051","98.1918081918082","98.1918081918082","98.32001332001333","98.3841158841159","98.51232101232102","98.64219114219115","98.64219114219115","98.83616383616385","98.96520146520147","99.02930402930403","99.0942390942391"
"residential","86.55495495495497","71.77477477477478","81.24504504504503","86.55495495495498","88.77477477477478","90.72702702702705","91.87207207207207","92.67837837837837","93.82162162162163","94.35765765765765","94.82702702702701","95.09549549549548","95.49729729729728","95.83243243243241","96.23603603603603","96.5063063063063","96.64144144144142","96.97657657657656","97.37927927927927","97.44594594594595","97.71531531531534","97.85045045045045","98.05135135135136","98.11891891891892","98.18558558558559","98.31981981981981"
"business","80.16100362861324","72.21739575176812","80.16100362861326","84.34363989743105","87.14128657438864","89.15912758042379","90.31886974224041","91.37760049542695","92.38760923780055","93.31969409679789","94.07601753447543","94.70671411974503","95.28525718372923","95.56317468360105","95.86507183407166","96.29386869227953","96.49538386311913","96.92468963671868","97.05070358329102","97.22697005511587","97.3781096298289","97.50386849388201","97.7301324084402","97.85627069485767","97.93164757927978","98.03240644333292"
