"Dataset","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"oxford","95.86802877580506","87.09110154179794","92.56837960462559","94.79732200499588","95.9254442843875","96.63638676277054","97.09633399996167","97.44492968803075","97.74199540745106","97.98422424978217","98.20850231732776","98.34206870363218","98.44179490029687","98.57617558764694","98.67567162639017","98.75070963778658","98.84031678226738","98.88589380435278","98.94889576756988","99.00995286303477","99.062985069851","99.10649504841214","99.15663527026717","99.19420455554558","99.22806356063931","99.27354496163606"
"university","90.52364302364302","77.83216783216783","85.62687312687312","88.58891108891108","90.52364302364305","92.07126207126208","93.03696303696306","93.8744588744589","94.32567432567436","94.71278721278723","95.16483516483518","95.35880785880788","96.00399600399604","96.13303363303366","96.32617382617386","96.71162171162175","96.7757242757243","96.83982683982687","96.90392940392942","97.16200466200469","97.29020979020981","97.4841824841825","97.67732267732268","97.74225774225775","97.74225774225775","97.74225774225775"
"residential","85.14504504504504","70.96846846846847","80.5108108108108","85.14504504504504","87.56396396396397","89.77927927927928","90.58558558558558","91.72792792792794","92.53513513513515","93.20900900900901","93.881981981982","94.28468468468466","94.68558558558559","94.95495495495497","95.29099099099096","95.56036036036035","95.6954954954955","95.6954954954955","95.76306306306307","95.8972972972973","96.03153153153154","96.23153153153154","96.23153153153154","96.36576576576576","96.50090090090089","96.56846846846845"
"business","80.265038860147","71.53844894239954","80.265038860147","84.6025102374406","87.07148312706434","88.73452096147045","90.19526812908825","91.32862078685486","92.21159525257936","92.99343143188639","93.62437671617073","94.10355301606737","94.83399451881776","95.11152619349632","95.61557559628116","95.96848413605741","96.16949552536308","96.47101198449822","96.64689774566315","96.8996870601276","97.17683802414628","97.2774712600587","97.53000422303282","97.60601816960515","97.73216030158484","97.88317297918604"
