"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""96.33936204104461"",""89.01529545912983"",""93.8097202630044"",""95.45904419336634"",""96.39914410510045"",""97.03407932665178"",""97.43389826447257"",""97.7299145283341"",""98.00429207083644"",""98.19591736565239"",""98.35365104209389"",""98.4969558655399"",""98.64706508616229"",""98.76249617401604"",""98.86589879766463"",""98.93819729569984"",""99.00482466492379"",""99.06181715905495"",""99.10377626018281"",""99.13791395846128"",""99.17604278445086"",""99.22223466513594"",""99.25787745577544"",""99.29219822516565"",""99.3220565384895"",""99.35519754517607"""
"90,""96.47592208944997"",""89.24123264983814"",""93.98965401280459"",""95.59065539518997"",""96.53054127969763"",""97.12804041777139"",""97.5315331659542"",""97.81950731920774"",""98.08460736175685"",""98.26814153056564"",""98.42682347274257"",""98.55885609025628"",""98.70044824385239"",""98.81583016477686"",""98.91768218686443"",""98.98313869540301"",""99.04976408671769"",""99.09847157036779"",""99.14131305677527"",""99.17183903448313"",""99.20500316914749"",""99.24897304768892"",""99.2867014039249"",""99.32105877335034"",""99.34326084254545"",""99.37465110677145"""
"80,""96.44184922017087"",""89.38632146897056"",""93.990646779298"",""95.57603099366375"",""96.49144372249137"",""97.08772830636777"",""97.50065230372995"",""97.78297656333449"",""98.0513347704887"",""98.23734471654006"",""98.39763859266661"",""98.53361558758523"",""98.67470430484762"",""98.7844020286217"",""98.8844041141317"",""98.9517133013323"",""99.02262744287142"",""99.07097185373144"",""99.10983636803269"",""99.14401412003146"",""99.17502574933597"",""99.2162029711986"",""99.25459511046554"",""99.29305344566536"",""99.3157749782981"",""99.34697501796352"""
"70,""96.36096667525267"",""89.37184051038223"",""93.91681948373193"",""95.5163923923911"",""96.4081878500511"",""97.005153260069"",""97.41554335839095"",""97.69682080536619"",""97.96506991066393"",""98.15693019167738"",""98.31298986487079"",""98.44501942720987"",""98.5987027839736"",""98.70113695925305"",""98.80999308381774"",""98.88187861355631"",""98.95791061430403"",""99.00866576048331"",""99.04820626092837"",""99.0822117216105"",""99.11553204082544"",""99.15758308031523"",""99.19501088315941"",""99.23869896156661"",""99.26049910294002"",""99.29401752560295"""
"60,""96.28548380371574"",""89.32644215907702"",""93.86397396187577"",""95.44861585127298"",""96.33562196768953"",""96.94514786078977"",""97.3742377238965"",""97.67819286341143"",""97.9465127166661"",""98.14126216048344"",""98.29001813657119"",""98.41726029941603"",""98.57822253885577"",""98.67397949323593"",""98.78485996930496"",""98.85279077952711"",""98.92394599598964"",""98.972296407577"",""99.0132067414754"",""99.04558308935694"",""99.08425125256531"",""99.12804297868838"",""99.1692215686998"",""99.21487166209555"",""99.23738625595377"",""99.26846087436148"""
"50,""96.54781320195656"",""89.79275167652871"",""94.22155332498512"",""95.73113297933806"",""96.60177444616895"",""97.19349924707066"",""97.62452969013316"",""97.90536350373134"",""98.14961719439715"",""98.33204526230136"",""98.471681044187"",""98.58735968108618"",""98.73965137110469"",""98.83046420089367"",""98.91893320988328"",""98.97621918085623"",""99.0298688157776"",""99.07811137135155"",""99.1148601242848"",""99.13502137399962"",""99.1690460432991"",""99.19513623053903"",""99.23900408164401"",""99.2754936372315"",""99.29308499307209"",""99.31438963862135"""
"40,""96.50856034990574"",""89.67000927861308"",""94.10626484678022"",""95.6480073908749"",""96.56470873018544"",""97.16280568840948"",""97.60259204439417"",""97.91179554834429"",""98.1863236153523"",""98.3754212435667"",""98.51603960916135"",""98.63562892772944"",""98.78671373409503"",""98.87408851928075"",""98.96206590751335"",""99.02615731394125"",""99.07071046514552"",""99.11823212404009"",""99.15967956873021"",""99.18473175705697"",""99.21219618353315"",""99.24119386057413"",""99.27065327957902"",""99.30038666041176"",""99.3148498004082"",""99.33050069359261"""
"30,""96.85797102326566"",""90.48140633597589"",""94.53588599503973"",""96.03582891234213"",""96.91621638415818"",""97.4853117980471"",""97.90286751215045"",""98.19020734574413"",""98.42089055837852"",""98.59520241668747"",""98.72005700495784"",""98.81147639985181"",""98.95633659935412"",""98.99907590213073"",""99.06423041817187"",""99.10961474829703"",""99.15790322429027"",""99.18780765763252"",""99.21770744853977"",""99.24103220265319"",""99.2721829415896"",""99.28735711684283"",""99.30705834581391"",""99.33217765035131"",""99.34665508393897"",""99.34665508393897"""
"20,""96.55214128695218"",""90.2704243691754"",""94.26030959045814"",""95.7836724110441"",""96.62991779924535"",""97.26943872676743"",""97.75218849604332"",""98.06091699061945"",""98.31078602807857"",""98.46958492774893"",""98.55661493018012"",""98.64832897052065"",""98.80517283597791"",""98.84002914519704"",""98.91536977400287"",""98.96149773641461"",""99.00499871319894"",""99.01158632848222"",""99.04760570882137"",""99.06715605095235"",""99.09823471982905"",""99.09823471982905"",""99.11402071036959"",""99.1503937576122"",""99.16500338828074"",""99.16500338828074"""
"10,""96.87772372554981"",""91.5661874357526"",""94.87034704426009"",""96.18452199973942"",""96.91642596533904"",""97.53272995120821"",""97.98694059563623"",""98.3178687254774"",""98.56057891383976"",""98.6947382327817"",""98.77484834006573"",""98.86378114638984"",""99.02714133692395"",""99.09489966555184"",""99.17395104895105"",""99.20359531772576"",""99.21594709638188"",""99.22912232694843"",""99.2455913651566"",""99.27029492246885"",""99.28676396067704"",""99.28676396067704"",""99.29911573933316"",""99.33902148576064"",""99.35137326441676"",""99.35137326441676"""
