"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""81.4228928895619"",""73.10126105454204"",""81.4228928895619"",""85.40705586590596"",""88.07805664867433"",""89.79147519374031"",""91.25604352326158"",""92.23749385805095"",""92.81743671312516"",""93.72388193338121"",""94.35356586037403"",""94.88236273790633"",""95.2605289367929"",""95.66445015417034"",""95.96672801530083"",""96.39603123163376"",""96.59729514619191"",""96.82419358495808"",""97.0249524490112"",""97.30273536064675"",""97.37849293640433"",""97.42925435772412"",""97.5050119334817"",""97.6815322188546"",""97.75729108290776"",""97.80779742170836"""
"90,""81.32504934474365"",""72.81074808723733"",""81.32504934474365"",""85.261663144533"",""87.99635058132642"",""89.75523612244471"",""91.18125736683893"",""92.18530607690107"",""92.80000557961765"",""93.69231721521282"",""94.33432371546739"",""94.92015044044108"",""95.2831324670977"",""95.70229078177417"",""96.03718117715984"",""96.45618605235076"",""96.56760752969403"",""96.79076433787375"",""96.98567607529695"",""97.23707621060268"",""97.29294213239038"",""97.32103202003083"",""97.4048309027124"",""97.57258908208316"",""97.65638970839524"",""97.68416748617302"""
"80,""80.98594608311438"",""72.43815430698193"",""80.98594608311438"",""85.16628851206116"",""87.80609873815779"",""89.47202899848739"",""90.82545925881698"",""91.86183922458403"",""92.55388703128732"",""93.3388837473131"",""94.06158446779715"",""94.65809847942043"",""95.06671940928271"",""95.50737650266699"",""95.85309937504977"",""96.29316684579253"",""96.41855992755355"",""96.6380985789348"",""96.82619068943555"",""97.07776799219809"",""97.14066107395908"",""97.17230664357933"",""97.26664626622085"",""97.45552951596213"",""97.54987162646287"",""97.58112162646287"""
"70,""81.38015922665593"",""72.82565500394716"",""81.38015922665593"",""85.58585057419903"",""88.3179617796446"",""89.9351847714375"",""91.19422970940018"",""92.16393344951368"",""92.73975974499903"",""93.52986058358283"",""94.21308294978925"",""94.78787032485815"",""95.21928668245528"",""95.68770201230322"",""96.01145419068473"",""96.44338442289646"",""96.5867554403682"",""96.8020726276122"",""97.01713287754889"",""97.23322460044386"",""97.30516704648703"",""97.30516704648703"",""97.41308071555179"",""97.62917616217585"",""97.73709355496969"",""97.77280784068397"""
"60,""81.7892156862745"",""73.33333333333334"",""81.7892156862745"",""85.97584033613445"",""88.61379551820727"",""90.24579831932772"",""91.45973389355744"",""92.46428571428572"",""93.05042016806722"",""93.80427170868349"",""94.4327731092437"",""94.85084033613444"",""95.26925770308124"",""95.68872549019609"",""95.98179271708685"",""96.31652661064427"",""96.48389355742297"",""96.73494397759104"",""96.9436274509804"",""97.15336134453783"",""97.2373949579832"",""97.2373949579832"",""97.32142857142858"",""97.48914565826331"",""97.57282913165267"",""97.61449579831934"""
"50,""83.05252525252526"",""74.90808080808081"",""83.05252525252526"",""87.07676767676767"",""89.54141414141415"",""91.15101010101009"",""92.2560606060606"",""93.21111111111111"",""93.8651515151515"",""94.51969696969698"",""95.12373737373737"",""95.47525252525251"",""95.97777777777779"",""96.3808080808081"",""96.68232323232324"",""96.93333333333335"",""97.0338383838384"",""97.18434343434345"",""97.3848484848485"",""97.53585858585859"",""97.6368686868687"",""97.6368686868687"",""97.68737373737375"",""97.83838383838385"",""97.9388888888889"",""97.98888888888891"""
"40,""83.99683544303797"",""75.65664556962024"",""83.99683544303797"",""87.63607594936708"",""89.77056962025316"",""91.40268987341774"",""92.53164556962028"",""93.5981012658228"",""94.16534810126583"",""94.72943037974684"",""95.23180379746836"",""95.54588607594937"",""96.17405063291139"",""96.3623417721519"",""96.5506329113924"",""96.80221518987341"",""96.92721518987341"",""97.11471518987341"",""97.36550632911391"",""97.55379746835443"",""97.67879746835443"",""97.67879746835443"",""97.67879746835443"",""97.80458860759494"",""97.92958860759494"",""97.99208860759494"""
"30,""84.33333333333334"",""75.83333333333333"",""84.33333333333334"",""87.41666666666666"",""89.49999999999999"",""91.16666666666669"",""92.41666666666667"",""93.49999999999999"",""94"",""94.58333333333333"",""95.16666666666666"",""95.58333333333331"",""96.16666666666666"",""96.41666666666666"",""96.66666666666666"",""96.74999999999999"",""96.83333333333333"",""97.08333333333333"",""97.24999999999999"",""97.49999999999999"",""97.58333333333333"",""97.58333333333333"",""97.58333333333333"",""97.74999999999999"",""97.83333333333333"",""97.91666666666666"""
"20,""82.625"",""74"",""82.625"",""85.5"",""87.625"",""89.625"",""90.625"",""92.125"",""92.5"",""93"",""93.5"",""94.125"",""94.875"",""95.125"",""95.5"",""95.625"",""95.75"",""96"",""96.25"",""96.625"",""96.75"",""96.75"",""96.75"",""97"",""97.125"",""97.125"""
"10,""78.5"",""71.25"",""78.5"",""81"",""84.25"",""86.75"",""87.75"",""90.5"",""90.75"",""91.5"",""92"",""93.25"",""94.5"",""94.75"",""95.25"",""95.25"",""95.25"",""95.5"",""95.75"",""96.5"",""96.75"",""96.75"",""96.75"",""97"",""97"",""97"""
