"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""84.409009009009"",""72.04414414414416"",""79.97297297297298"",""84.40900900900901"",""87.09909909909909"",""88.77657657657657"",""90.45765765765765"",""91.66756756756756"",""92.27117117117116"",""93.14594594594595"",""93.81711711711714"",""94.08558558558562"",""94.75855855855858"",""95.36306306306308"",""95.63153153153152"",""95.96846846846844"",""96.17027027027027"",""96.5054054054054"",""96.57207207207207"",""96.63873873873874"",""96.7054054054054"",""96.83963963963966"",""96.9063063063063"",""96.9063063063063"",""97.17477477477478"",""97.24144144144145"""
"90,""83.98046532045653"",""71.51997366110623"",""79.23287971905181"",""83.98046532045653"",""86.57813871817385"",""88.35601404741001"",""90.13718173836698"",""91.3235294117647"",""91.98968393327479"",""92.88081650570676"",""93.6215978928885"",""93.91791044776122"",""94.6608867427568"",""95.25351185250221"",""95.4762949956102"",""95.77370500438981"",""95.9964881474978"",""96.36633011413521"",""96.43985952589992"",""96.5133889376646"",""96.58691834942931"",""96.73507462686567"",""96.80860403863036"",""96.80860403863036"",""97.10491659350305"",""97.17844600526776"""
"80,""82.58333333333334"",""69.41666666666666"",""77.41666666666666"",""82.58333333333334"",""85.33333333333334"",""87.25"",""89.16666666666667"",""90.41666666666667"",""91.08333333333333"",""92.08333333333331"",""92.91666666666664"",""93.24999999999997"",""93.99999999999999"",""94.66666666666667"",""94.91666666666667"",""95.25000000000001"",""95.50000000000001"",""95.91666666666666"",""96"",""96.08333333333333"",""96.16666666666666"",""96.33333333333333"",""96.41666666666666"",""96.41666666666666"",""96.75"",""96.83333333333333"""
"70,""81.40420899854863"",""67.47460087082729"",""76.15747460087083"",""81.40420899854863"",""84.17271407837447"",""86.36248185776488"",""88.27104499274311"",""89.5101596516691"",""90.27031930333818"",""91.416908563135"",""92.36937590711177"",""92.75036284470248"",""93.51415094339623"",""94.17997097242382"",""94.46661828737301"",""94.84941944847606"",""95.03991291727141"",""95.51523947750363"",""95.60957910014513"",""95.70391872278665"",""95.79825834542815"",""95.98875181422349"",""96.08309143686502"",""96.08309143686502"",""96.46407837445575"",""96.55841799709727"""
"60,""81"",""67.11111111111111"",""75.33333333333331"",""80.99999999999999"",""83.77777777777777"",""86.1111111111111"",""88"",""89.2222222222222"",""90"",""91.22222222222223"",""92.22222222222223"",""92.55555555555557"",""93.44444444444446"",""94"",""94.33333333333334"",""94.77777777777777"",""94.88888888888889"",""95.33333333333333"",""95.44444444444444"",""95.55555555555557"",""95.66666666666667"",""95.88888888888891"",""95.88888888888891"",""95.88888888888891"",""96.33333333333334"",""96.44444444444446"""
"50,""79.1429587482219"",""65.2275960170697"",""73.2610241820768"",""79.1429587482219"",""82.21906116642957"",""84.87908961593172"",""86.75320056899002"",""87.95519203413939"",""88.88691322901848"",""90.35917496443811"",""91.42603129445233"",""91.82432432432432"",""92.89473684210525"",""93.29658605974394"",""93.69843527738264"",""94.23541963015647"",""94.3705547652916"",""94.90398293029872"",""94.90398293029872"",""95.03556187766713"",""95.16714082503555"",""95.43385490753911"",""95.43385490753911"",""95.43385490753911"",""95.83570412517781"",""95.96728307254622"""
"40,""77"",""62.66666666666667"",""70.83333333333334"",""77.00000000000001"",""79.83333333333334"",""82.83333333333333"",""84.83333333333334"",""86.16666666666667"",""87.16666666666666"",""88.83333333333334"",""90.00000000000001"",""90.50000000000001"",""91.66666666666667"",""92.16666666666667"",""92.66666666666666"",""93.16666666666666"",""93.33333333333333"",""93.83333333333334"",""93.83333333333334"",""94"",""94.16666666666666"",""94.50000000000001"",""94.50000000000001"",""94.50000000000001"",""95.00000000000003"",""95.16666666666669"""
"30,""74.56521739130434"",""60.65217391304348"",""68.91304347826086"",""74.56521739130434"",""77.60869565217389"",""81.08695652173911"",""83.69565217391303"",""84.56521739130434"",""85.6521739130435"",""87.39130434782611"",""88.2608695652174"",""88.69565217391307"",""90.21739130434784"",""90.86956521739133"",""91.52173913043481"",""92.17391304347828"",""92.39130434782611"",""93.04347826086959"",""93.04347826086959"",""93.2608695652174"",""93.47826086956523"",""93.91304347826089"",""93.91304347826089"",""93.91304347826089"",""94.56521739130436"",""94.78260869565219"""
"20,""75.33333333333334"",""62.33333333333333"",""70.33333333333333"",""75.33333333333333"",""77.66666666666666"",""81.33333333333333"",""84"",""84.99999999999999"",""85.99999999999999"",""87.66666666666666"",""88.33333333333334"",""88.66666666666667"",""90.66666666666667"",""91.66666666666666"",""92.66666666666667"",""93.33333333333334"",""93.33333333333334"",""93.66666666666667"",""93.66666666666667"",""94"",""94.33333333333334"",""95"",""95"",""95"",""95.33333333333334"",""95.33333333333334"""
"10,""69.375"",""53.75"",""63.125"",""69.375"",""73.125"",""78.125"",""81.25"",""82.5"",""83.75"",""85.625"",""86.25"",""86.875"",""89.375"",""90.625"",""90.625"",""91.875"",""91.875"",""91.875"",""91.875"",""91.875"",""92.5"",""92.5"",""92.5"",""92.5"",""93.125"",""93.125"""
