"Dataset","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"oxford","96.54477236018053","89.79814329142818","94.11829509532885","95.73685111752036","96.58408602194828","97.15641395745358","97.56071903394978","97.8032318578993","98.01896192315374","98.20729985705115","98.37002090824622","98.49071564606928","98.59332636535336","98.67739084331247","98.7301131390479","98.8128907016837","98.8703646499597","98.93010599397948","98.98419108731697","99.03768933789272","99.08502926176673","99.12947567588515","99.16596445388235","99.19605664871536","99.22877401131838","99.25719820933644"
"university","93.04195804195805","82.41092241092241","88.46653346653343","91.49600399600398","93.04195804195805","93.81451881451883","94.84515484515487","95.42540792540794","96.00399600399601","96.26207126207127","96.58341658341661","96.84065934065936","97.22777222777225","97.42174492174493","97.4858474858475","97.55078255078256","97.74475524475525","97.93789543789545","98.06776556776558","98.1968031968032","98.32500832500833","98.3899433899434","98.64801864801865","98.64801864801865","98.9060939060939","98.97102897102897"
"residential","87.0990990990991","74.45675675675676","83.13603603603603","87.0990990990991","89.24324324324326","90.85585585585586","92.26666666666668","92.94144144144143","93.4765765765766","93.81441441441443","94.42072072072074","94.95765765765768","95.42882882882884","95.89909909909912","95.96666666666667","96.16756756756756","96.36846846846846","96.50270270270269","96.57027027027026","96.63783783783785","96.70450450450451","96.83963963963966","96.9063063063063","97.04054054054055","97.1072072072072","97.24234234234234"
"business","82.4836579000731","74.16430654142371","82.4836579000731","86.26543399971709","88.68732310091708","90.1238355160925","91.50894944779789","92.61742769505634","93.57553546072155","93.97907981300133","94.48338429830535","94.78616722926533","95.06331690498848","95.69261500678803","96.12039155424355","96.47393717549446","96.6750741929408","96.82646885017303","97.05336600064363","97.30462993452622","97.40551698398674","97.63216289750036","97.78330247221339","97.93494965469816","98.08570723045571","98.21171861976137"
