"Dataset","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"oxford","96.34510519852067","88.7775640595721","93.60216148651638","95.41019553295271","96.38793180737602","97.02056420370683","97.48597549239997","97.79707510805751","98.02519815417543","98.22105275095083","98.38440219519288","98.50291946977427","98.60612387087482","98.73275191516629","98.81268924908413","98.88033388302892","98.94457871659085","99.01222383395842","99.04622249531006","99.0978663542417","99.14529337359289","99.19914524999325","99.23340916442534","99.27566514697429","99.3111013425837","99.34500890272935"
"university","92.7797202797203","80.59690309690308","87.8196803196803","90.90659340659342","92.7797202797203","93.23010323010325","94.19580419580421","94.968364968365","95.61272061272064","96.19297369297371","96.51598401598403","96.7732267732268","96.90143190143192","97.16117216117217","97.2910422910423","97.54828504828507","97.61322011322014","97.80552780552782","97.93456543456546","98.06360306360307","98.19347319347321","98.38744588744589","98.45154845154846","98.51565101565102","98.7096237096237","98.77372627372627"
"residential","85.75135135135135","72.91261261261262","81.7171171171171","85.75135135135135","88.10630630630631","89.78558558558561","91.52792792792793","92.73963963963963","93.21081081081081","94.22162162162161","94.55855855855857","94.96126126126128","95.16216216216216","95.49909909909908","95.76846846846847","96.17117117117115","96.23873873873875","96.37387387387388","96.44054054054052","96.84324324324324","96.97657657657656","97.1108108108108","97.17747747747748","97.38018018018019","97.51441441441442","97.51441441441442"
"business","82.86207027935659","75.04459945860667","82.86207027935657","86.59320800923038","88.63567593775677","90.50123646742145","91.81263094558061","92.46768919972885","92.9208515723776","93.65066112751113","94.12806079054454","94.53172946334504","94.88476618852864","95.16179152440664","95.64020513401236","96.09400072324914","96.47190926302537","96.6986808046797","96.92557797447475","97.17811093744886","97.35539135584604","97.55640274515169","97.63190652668561","97.78317299851047","97.9344382013642","98.0857021159224"
